City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
169,sao filipe,14.8961,-24.4956,68.88,64,3,15.3,CV,1675807475
170,fairbanks,64.8378,-147.7164,12.22,79,40,0.0,US,1675807426
171,cabedelo,-6.9811,-34.8339,79.47,67,90,11.48,BR,1675807476
172,beringovskiy,63.05,179.3167,-20.34,96,89,7.27,RU,1675807477
173,nha trang,12.25,109.1833,75.2,90,81,5.21,VN,1675807477
174,yumen,40.2833,97.2,27.28,54,100,12.37,CN,1675807477
175,batemans bay,-35.7167,150.1833,66.09,93,98,3.71,AU,1675807478
176,birao,10.2849,22.7882,76.26,14,79,10.96,CF,1675807479
177,bang krathum,16.5783,100.3003,79.09,55,26,3.02,TH,1675807479
178,kintinku,-5.8833,35.2333,66.85,88,93,3.51,TZ,1675807481
179,vikhorevka,56.1201,101.1636,-0.76,100,100,2.44,RU,1675807481
180,okhotsk,59.3833,143.3,-13.81,86,98,10.02,RU,1675807482
181,loanda,-8.8368,13.2343,78.8,83,75,8.05,AO,1675807482
182,lazaro cardenas,17.9583,-102.2,81.95,61,5,11.1,MX,1675807236
183,groningen,53.25,6.75,30.16,88,0,3.87,NL,1675807482
184,pathanamthitta,9.2667,76.7833,72.73,84,50,2.24,IN,1675807483
185,severo-yeniseyskiy,60.3725,93.0408,5.74,97,100,2.84,RU,1675807484
186,katsuura,35.1333,140.3,50.29,82,100,18.63,JP,1675807484
187,namatanai,-3.6667,152.4333,80.4,81,100,5.95,PG,1675807485
188,vallenar,-28.5708,-70.7581,82.6,37,17,8.1,CL,1675807485
189,ancud,-41.8697,-73.8203,63.55,79,7,9.26,CL,1675807259
190,luderitz,-26.6481,15.1594,66.99,80,3,19.13,NA,1675807485
191,bubaque,11.2833,-15.8333,75.29,69,39,17.09,GW,1675807460
192,san ramon de la nueva oran,-23.1322,-64.326,98.42,33,91,4.74,AR,1675807486
193,guerrero negro,27.9769,-114.0611,71.29,20,1,3.13,MX,1675807486
194,utrecht,52.0,5.25,34.02,89,6,4.52,NL,1675807407
195,xining,36.6167,101.7667,26.35,88,100,1.54,CN,1675807487
196,alyangula,-13.8483,136.4192,83.32,70,100,3.94,AU,1675807441
197,quang ngai,15.1167,108.8,69.69,93,36,4.25,VN,1675807487
198,nayoro,44.3506,142.4578,15.37,96,89,3.98,JP,1675807452
199,trinidad,-14.8333,-64.9,80.58,78,75,3.44,BO,1675807488
200,belyy yar,53.6039,91.3903,4.89,93,100,2.24,RU,1675807488
201,te anau,-45.4167,167.7167,49.75,80,69,7.38,NZ,1675807489
202,santa cruz,-17.8,-63.1667,85.46,69,75,10.36,BO,1675807448
203,wahiawa,21.5028,-158.0236,77.32,74,100,8.05,US,1675807489
204,vila velha,-20.3297,-40.2925,80.55,87,20,16.11,BR,1675807247
205,chokurdakh,70.6333,147.9167,-36.99,99,99,4.07,RU,1675807490
206,saint anthony,45.0205,-93.218,36.05,63,0,12.66,US,1675807490
207,kahului,20.8947,-156.47,80.96,76,40,25.32,US,1675807490
208,boguchany,58.3814,97.4531,7.23,98,100,2.48,RU,1675807491
209,goderich,43.7501,-81.7165,37.72,87,100,10.36,CA,1675807491
210,anadyr,64.75,177.4833,-23.3,76,0,8.95,RU,1675807491
211,ust-tsilma,65.441,52.1498,20.97,93,100,11.48,RU,1675807491
212,deputatskiy,69.3,139.9,-46.71,99,58,4.21,RU,1675807492
213,salekhard,66.53,66.6019,0.43,92,100,12.06,RU,1675807492
214,la paz,-16.5,-68.15,51.78,87,75,10.36,BO,1675807322
215,faya,18.3851,42.4509,53.71,82,38,4.36,SA,1675807493
216,mpika,-11.8343,31.4529,61.74,95,100,9.35,ZM,1675807493
217,krasnoturansk,54.3186,91.5639,4.82,96,100,3.65,RU,1675807493
218,pamanukan,-6.2842,107.8106,75.74,92,100,6.85,ID,1675807494
219,alvaraes,-3.2208,-64.8042,82.27,95,25,3.02,BR,1675807494
220,vanimo,-2.6741,141.3028,75.9,96,100,4.45,PG,1675807494
221,vetluga,57.8557,45.781,4.89,96,96,7.0,RU,1675807495
222,tiarei,-17.5333,-149.3333,86.02,67,0,7.67,PF,1675807495
223,along,28.1667,94.7667,55.24,84,100,0.89,IN,1675807496
224,college,64.8569,-147.8028,12.2,78,75,0.0,US,1675807496
225,ginda,30.6945,78.4932,39.42,24,0,9.06,IN,1675807496
226,sindor,62.8629,51.8905,13.66,94,100,9.84,RU,1675807496
227,tall kayf,37.0833,41.0667,36.86,87,26,3.58,TR,1675807497
228,vardo,70.3705,31.1107,33.78,75,40,34.52,NO,1675807497
229,havoysund,70.9963,24.6622,35.83,82,69,27.63,NO,1675807498
230,ketchikan,55.3422,-131.6461,39.18,87,100,4.61,US,1675807498
231,konyshevka,51.8418,35.2941,11.05,95,6,6.11,RU,1675807498
232,provideniya,64.3833,-173.3,-2.09,71,100,8.95,RU,1675807499
233,san patricio,28.017,-97.5169,78.75,71,98,20.87,US,1675807499
